"","Country","Region","Happiness","LifeExpectancy","Footprint","HLY","HPI","HPIRank","GDPperCapita","HDI","Population"
"51","Greece",2,6.8,78.9,5.9,54,37.58,97,23381,0.926,11.1
"52","Guatemala",1,7.4,69.7,1.5,51.8,68.37,4,4568,0.689,12.71
"53","Guinea",4,4,54.8,1.3,21.8,30.25,116,2316,0.456,9
"54","Guyana",1,6.5,65.2,2.6,42.6,45.63,63,4508,0.75,0.74
"55","Haiti",1,5.2,59.5,0.5,30.8,50.84,42,1663,0.529,9.3
"56","Honduras",1,7,69.4,1.8,48.7,60.99,10,3430,0.7,6.83
"57","Hong Kong",6,7.2,81.9,5.7,58.6,41.6,84,34833,0.937,6.81
"58","Hungary",7,5.7,72.9,3.5,41.8,38.86,90,17887,0.874,10.09
"59","Iceland",2,7.8,81.5,7.4,63.9,38.14,94,36510,0.968,0.3
"60","India",5,5.5,63.7,0.9,35.1,53.03,35,3452,0.619,1094.58
"61","Indonesia",6,5.7,69.7,0.9,39.5,58.92,16,3843,0.728,220.56
"62","Iran",3,5.6,70.2,2.7,39.5,42.08,81,7968,0.759,69.09
"63","Iraq",3,5.4,57.7,1.3,30.9,42.59,79,NA,NA,29.27
"64","Ireland",2,8.1,78.4,6.3,63.8,42.62,78,38505,0.959,4.16
"65","Israel",3,7.1,80.3,4.8,56.8,44.49,67,25864,0.932,6.92
"66","Italy",2,6.9,80.3,4.8,55.7,44.02,69,28529,0.941,58.61
"67","Jamaica",1,6.7,72.2,1.1,48.5,70.09,3,4291,0.736,2.65
"68","Japan",6,6.8,82.3,4.9,55.6,43.25,75,31267,0.953,127.77
"69","Jordan",3,6,71.9,1.7,43.1,54.59,26,5530,0.773,5.41
"70","Kazakhstan",7,6.1,65.9,3.4,40.4,38.54,91,7857,0.794,15.15
"71","Kenya",4,3.7,52.1,1.1,19.1,27.77,125,1240,0.521,35.6
"72","Korea",6,6.3,77.9,3.7,49.1,44.43,68,22029,0.921,48.29
"73","Kuwait",3,6.7,77.3,8.9,51.6,27.04,128,26321,0.891,2.54
"74","Kyrgyzstan",7,5,65.6,1.1,32.7,47.09,61,1927,0.696,5.14
"75","Laos",6,6.2,63.2,1.1,39.4,57.34,19,2039,0.601,5.66
"76","Latvia",7,5.4,72,3.5,39.1,36.67,101,13646,0.855,2.3
"77","Lebanon",3,4.7,71.5,3.1,33.7,33.56,110,5584,0.772,4.01
"78","Lithuania",7,5.8,72.5,3.2,41.8,40.9,86,14494,0.862,3.41
"79","Luxembourg",2,7.7,78.4,10.2,60.1,28.47,122,60228,0.944,0.46
"80","Macedonia",7,5.5,73.8,4.6,40.5,32.66,111,7200,0.801,2.03
"81","Madagascar",4,3.7,58.4,1.1,21.8,31.54,113,923,0.533,18.64
"82","Malawi",4,4.4,46.3,0.5,20.6,34.47,107,667,0.437,13.23
"83","Malaysia",6,6.6,73.7,2.4,48.6,54.05,33,10882,0.811,25.65
"84","Mali",4,3.8,53.1,1.6,20,25.77,132,1033,0.38,11.61
"85","Malta",2,7.1,79.1,3.8,56,50.36,44,19189,0.878,0.4
"86","Mauritania",4,5,63.2,1.9,31.3,38.21,93,2234,0.55,2.96
"87","Mexico",1,7.7,75.6,3.4,58.3,55.58,23,10751,0.829,103.09
"88","Moldova",7,5.7,68.4,1.2,38.7,54.08,32,2100,0.708,3.88
"89","Mongolia",7,5.7,65.9,3.5,37.3,34.95,106,2107,0.7,2.55
"90","Morocco",3,5.6,70.4,1.1,39.7,56.75,21,4555,0.646,30.14
"91","Mozambique",4,3.8,42.8,0.9,16.4,24.61,133,1242,0.384,20.53
"92","Namibia",4,4.5,51.6,3.7,23.2,21.1,140,7586,0.65,2.02
"93","Nepal",5,5.3,62.6,0.8,33.3,51.91,37,1550,0.534,27.09
"94","Netherlands",2,7.7,79.2,4.4,61.1,50.6,43,32684,0.953,16.32
"95","New Zealand",2,7.8,79.8,7.7,62.3,36.21,103,24996,0.943,4.13
"96","Nicaragua",1,7.1,71.9,2,51,60.54,11,3674,0.71,5.46
"97","Niger",4,3.8,55.8,1.6,21,26.94,129,781,0.374,13.26
"98","Nigeria",4,4.8,46.5,1.3,22.2,30.35,115,1128,0.47,141.36
"99","Norway",2,8.1,79.8,6.9,64.6,40.36,88,41420,0.968,4.62
"100","Pakistan",5,5.6,64.6,0.8,36.2,55.56,24,2370,0.551,155.77
"101","Palestine",3,5,72.9,1.5,36.1,47.73,56,1500,0.731,3.76
"102","Panama",1,7.8,75.1,3.2,58.5,57.37,18,7605,0.812,3.23
"103","Paraguay",1,6.9,71.3,3.2,49,47.8,55,4642,0.755,5.9
"104","Peru",1,5.9,70.7,1.6,41.7,54.37,28,6039,0.773,27.27
"105","Philippines",6,5.5,71,0.9,38.9,59.02,14,5137,0.771,84.57
"106","Poland",7,6.5,75.2,4,48.7,42.75,77,13847,0.87,38.17
"107","Portugal",2,5.9,77.7,4.4,45.5,37.46,98,20410,0.897,10.55
"108","Romania",7,5.9,71.9,2.9,42.6,43.89,70,9060,0.813,21.63
"109","Russia",7,5.9,65,3.7,38.1,34.47,108,10845,0.802,143.15
"110","Rwanda",4,4.2,45.2,0.8,19.1,29.59,119,1206,0.452,9.23
"111","Saudi Arabia",3,7.7,72.2,2.6,55.6,59.7,13,15711,0.812,23.12
"112","Senegal",4,4.5,62.3,1.4,27.9,38.03,96,1792,0.499,11.77
"113","Serbia",7,6,73.6,2.6,44.2,47.63,58,NA,NA,7.44
"114","Sierra Leone",4,3.6,41.8,0.8,14.8,23.08,136,806,0.336,5.59
"115","Singapore",6,7.1,79.4,4.2,56.5,48.24,49,29663,0.922,4.27
"116","Slovakia",7,6.1,74.2,3.3,45.1,43.52,73,15871,0.863,5.39
"117","Slovenia",7,7,77.4,4.5,54.2,44.53,66,22273,0.917,2
"118","South Africa",4,5,50.8,2.1,25.2,29.69,118,11110,0.674,46.89
"119","Spain",2,7.6,80.5,5.7,61.2,43.19,76,27169,0.949,43.4
"120","Sri Lanka",5,5.4,71.6,1,38.6,56.55,22,4595,0.743,19.67
"121","Sudan",4,4.5,57.4,2.4,25.8,28.55,121,2083,0.526,36.9
"122","Sweden",2,7.9,80.5,5.1,63.2,47.99,53,32525,0.956,9.02
"123","Switzerland",2,7.7,81.3,5,62.6,48.05,52,35633,0.955,7.44
"124","Syria",3,5.9,73.6,2.1,43.4,51.32,38,3808,0.724,18.89
"125","Tajikistan",7,5.1,66.3,0.7,33.8,53.48,34,1356,0.673,6.55
"126","Tanzania",4,2.4,51,1.1,12.5,17.79,142,744,0.467,38.48
"127","Thailand",6,6.3,69.6,2.1,43.5,50.9,41,8677,0.781,63
"128","Togo",4,2.6,57.8,0.8,15.2,23.28,135,1506,0.512,6.24
"129","Trinidad and Tobago",1,6.7,69.2,2.1,46.3,54.21,30,14603,0.814,1.32
"130","Tunisia",3,5.9,73.5,1.8,43.3,54.31,29,8371,0.766,10.03
"131","Turkey",3,5.5,71.4,2.7,39.4,41.7,83,8407,0.775,72.07
"132","Uganda",4,4.5,49.7,1.4,22.3,30.21,117,1454,0.505,28.95
"133","Ukraine",7,5.3,67.7,2.7,35.9,38.07,95,6848,0.788,47.11
"134","United Arab Emirates",3,7.2,78.3,9.5,56.2,28.16,123,25514,0.868,4.1
"135","United Kingdom",2,7.4,79,5.3,58.6,43.31,74,33238,0.946,60.23
"136","United States of America",2,7.9,77.9,9.4,61.2,30.73,114,41890,0.951,296.51
"137","Uruguay",1,6.8,75.9,5.5,51.2,37.24,99,9962,0.852,3.31
"138","Uzbekistan",7,6,66.8,1.8,40.3,50.07,45,2063,0.702,26.17
"139","Venezuela",1,6.9,73.2,2.8,50.4,52.49,36,6632,0.792,26.58
"140","Vietnam",6,6.5,73.7,1.3,47.8,66.52,5,3071,0.733,83.1
"141","Yemen",3,5.2,61.5,0.9,32,48.09,50,930,0.508,21.1
"142","Zambia",4,4.3,40.5,0.8,17.5,27.18,127,1023,0.434,11.48
"143","Zimbabwe",4,2.8,40.9,1.1,11.6,16.59,143,2038,0.513,13.12
