"","Bill","Tip","Credit","Guests","Day","Server","PctTip"
"109",35.95,6.05,"y",3,"m","B",16.8
"110",23.97,4,"n",2,"m","B",16.7
"111",27.45,4,"y",3,"m","B",14.6
"112",27.66,4.16,"y",2,"t","C",15
"113",27.82,4.71,"n",3,"th","B",16.9
"114",19.53,8,"n",2,"t","A",41
"115",11.18,1.82,"y",2,"t","A",16.3
"116",11.93,2,"n",1,"t","A",16.8
"117",18.67,3.33,"y",2,"t","A",17.8
"118",28.36,5.44,"n",3,"w","A",19.2
"119",18.14,4,"n",3,"w","C",22.1
"120",20.22,4.37,"n",2,"w","A",21.6
"121",11.66,1.5,"n",1,"w","A",12.9
"122",17.82,3.18,"y",2,"w","C",17.8
"123",18.62,2.38,"y",2,"w","C",12.8
"124",3.26,0.74,"n",2,"w","C",22.7
"125",23.91,4,"n",2,"w","A",16.7
"126",15.25,2.75,"y",2,"w","A",18
"127",7.44,1.56,"n",1,"w","B",21
"128",11.72,2.28,"y",1,"w","A",19.5
"129",8.4,1.6,"y",1,"w","A",19
"130",17.44,2,"n",2,"w","A",11.5
"131",12.52,1.5,"n",1,"w","B",12
"132",14.34,2,"n",2,"w","B",13.9
"133",30.6,5,"y",2,"w","B",16.3
"134",18.08,2,"n",2,"w","A",11.1
"135",16.48,3,"n",2,"m","B",18.2
"136",24.5,3.5,"y",2,"t","A",14.3
"137",17.12,3.72,"n",2,"t","A",21.7
"138",6.69,1,"n",1,"m","B",14.9
"139",16.26,2.43,"n",2,"w","B",14.9
"140",13.86,1.14,"n",1,"t","C",8.2
"141",30.98,4.02,"y",4,"t","C",13
"142",18.4,2.75,"n",2,"m","B",14.9
"143",16.8,2.2,"y",2,"m","B",13.1
"144",3.75,0.25,"n",2,"m","B",6.7
"145",32.69,5,"n",2,"m","B",15.3
"146",35.68,5,"n",3,"m","B",14
"147",9.84,2.16,"y",1,"m","B",22
"148",14.23,2.15,"n",2,"w","B",15.1
"149",29.85,4.15,"y",2,"w","A",13.9
"150",20.76,3,"n",2,"m","B",14.5
"151",24.82,4.4,"n",2,"m","B",17.7
"152",15.62,2.81,"n",2,"th","B",18
"153",31.3,5.7,"y",3,"m","B",18.2
"154",12.57,2,"n",3,"m","B",15.9
"155",14.87,3.13,"n",2,"m","B",21
"156",51.68,10,"y",6,"m","B",19.3
"157",17.12,2.5,"n",2,"m","B",14.6
